"","numSunkCost","numLessMore","LW_DV","numDisease","numDefault","SunkCondition","LessMoreCondition","numLW_IV","DiseaseCondition","DefaultCondition","numINCOME","numEDU","numPolitical","lgnumHOURS","AGE","CRTScore","BNT","ATTN","numGENDER","SUNK_FAM","LESSMORE_FAM","LW_FAM","DISEASE_FAM","DEFAULT_FAM","BNT_FAM","CRT_FAM","TIME_SUNK_Page.Submit.lg","TIME_LESSMORE_Page.Submit.lg","TIME_LW_DV_Page.Submit.lg","TIME_DISEASE_Page.Submit.lg","TIME_DEFAULT_Page.Submit.lg","TIME_SUNK_Page.Submit","TIME_LESSMORE_Page.Submit","TIME_LW_DV_Page.Submit","TIME_DISEASE_Page.Submit","TIME_DEFAULT_Page.Submit","Panel","dates_api"
"186",7,4,4,1,0,"FREE","COAT",2.88026491451649,"LOSS","OPTNEUTRAL",35,3,4,3.65646639854054,40,0,3,2,1,1,1,1,1,1,1,1,2.77900559003586,2.85698731387658,1.68101411092332,4.18073630283231,2.9238602613162,16.103,17.409,5.371,65.414,18.613,"Blended","2022-03-28"
"187",9,4,3,1,1,"PAID","COAT",2.87306270381146,"LOSS","OPTOUT",35,4,1,5.29831736654804,70,0,1,1,1,3,3,3,3,3,3,5,2.29182743634109,3.53773674580098,1.31881819599498,3.35323187736728,3.62207169353232,9.893,34.389,3.739,28.595,37.415,"Blended","2022-03-28"
"188",1,6,3,1,1,"PAID","COAT",2.73381996351433,"LOSS","OPTOUT",25,4,3,1.79175946922805,70,0,3,2,1,1,1,1,1,1,1,1,2.30697544129534,2.88480071284671,1.77155676191054,4.0994979274629,3.00672166835359,10.044,17.9,5.88,60.31,20.221,"Blended","2022-03-28"
"189",6,6,3,0,0,"FREE","COAT",2.55936641532596,"LOSS","OPTNEUTRAL",35,2,4,5.29831736654804,60,0,1,2,1,1,1,1,3,1,1,1,2.63984273538909,2.63196077999496,1.9467669247753,3.16175505737844,2.60572212000069,14.011,13.901,7.006,23.612,13.541,"Blended","2022-03-28"
"190",6,7,4,1,1,"FREE","SCARF",3.24757766047273,"GAIN","OPTNEUTRAL",25,3,3,4.02535169073515,19,0,1,1,1,1,1,1,1,1,1,1,2.1126345090356,2.73105032533127,1.25390517307415,2.46614847685941,2.59428408680376,8.27,15.349,3.504,11.777,13.387,"Blended","2022-03-28"
"191",9,7,2,0,1,"PAID","COAT",3.19796243117145,"GAIN","OPTOUT",25,2,4,5.29831736654804,52,0,2,1,1,1,1,1,1,1,1,1,3.07731226054641,3.10856976681736,1.73642292418859,2.72719901994097,4.22683374526818,21.7,22.389,5.677,15.29,68.5,"Blended","2022-03-28"
"192",9,5,3,1,0,"PAID","SCARF",2.63739036463039,"LOSS","OPTOUT",125,4,7,3.65646639854054,39,0,2,2,1,1,1,1,1,3,1,3,2.29556047805708,2.39634862280621,0.936093359170335,2.77427480001144,2.33756606188929,9.93,10.983,2.55,16.027,10.356,"Blended","2022-03-28"
"193",7,6,3,0,1,"PAID","COAT",2.82544808859491,"LOSS","OPTNEUTRAL",45,4,4,4.78749174278205,51,0,1,1,1,3,3,1,3,1,1,1,3.54098830912449,4.15078790564531,3.31709087236516,4.05126307251965,2.47207467097262,34.501,63.484,27.58,57.47,11.847,"Blended","2022-03-28"
"194",5,6,2,1,0,"PAID","COAT",3.08152669144023,"GAIN","OPTOUT",15,3,4,3.65646639854054,60,0,1,2,1,1,1,1,1,1,2,2,4.75993210754049,3.15538209108353,1.82099459449639,4.91887082083843,3.25412713188084,116.738,23.462,6.178,136.848,25.897,"Blended","2022-03-28"
"195",9,4,3,1,1,"FREE","SCARF",2.669800312803,"LOSS","OPTOUT",175,1,3,2.484906649788,19,0,2,1,1,3,1,3,1,1,3,2,3.1436780283023,3.42122874096711,2.56533389890062,4.355169180504,3.07818745349018,23.189,30.607,13.005,77.88,21.719,"Blended","2022-03-28"
