voice,tmean,Time_s,F0_Hz
40,246.165140748091,244.015198,103.282626
40,246.165140748091,244.025198,103.879534
40,246.165140748091,244.035198,104.319116
40,246.165140748091,244.045198,104.318185
40,246.165140748091,244.055198,103.881359
40,246.165140748091,244.065198,103.449457
40,246.165140748091,244.075198,102.654213
40,246.165140748091,244.085198,101.489974
40,246.165140748091,244.095198,100.466372
40,246.165140748091,244.105198,100.489114
40,246.165140748091,244.115198,99.580923
40,246.165140748091,244.125198,99.185079
40,246.165140748091,244.135198,98.838986
40,246.165140748091,244.185198,116.928186
40,246.165140748091,244.195198,119.433027
40,246.165140748091,244.205198,119.38574
40,246.165140748091,244.215198,116.834211
40,246.165140748091,244.225198,114.749951
40,246.165140748091,244.235198,115.324338
40,246.165140748091,244.245198,115.9202
40,246.165140748091,244.255198,116.082564
40,246.165140748091,244.265198,115.670082
40,246.165140748091,244.275198,114.863505
40,246.165140748091,244.285198,113.658841
40,246.165140748091,244.295198,112.210039
40,246.165140748091,244.305198,110.409384
40,246.165140748091,244.315198,105.200732
40,246.165140748091,244.325198,105.374457
40,246.165140748091,244.335198,104.618233
40,246.165140748091,244.345198,102.686612
40,246.165140748091,244.355198,101.202781
40,246.165140748091,244.365198,99.253933
40,246.165140748091,244.375198,97.636845
40,246.165140748091,244.385198,99.466146
40,246.165140748091,244.395198,100.062841
40,246.165140748091,244.405198,103.049339
40,246.165140748091,244.415198,99.465168
40,246.165140748091,244.425198,103.186843
40,246.165140748091,245.175198,114.179334
40,246.165140748091,245.185198,121.179364
40,246.165140748091,245.195198,121.118467
40,246.165140748091,245.205198,120.953281
40,246.165140748091,245.215198,120.658989
40,246.165140748091,245.225198,120.601451
40,246.165140748091,245.235198,120.852101
40,246.165140748091,245.245198,120.911259
40,246.165140748091,245.255198,121.283722
40,246.165140748091,245.265198,122.662352
40,246.165140748091,245.275198,124.627081
40,246.165140748091,245.285198,125.730923
40,246.165140748091,245.295198,126.648848
40,246.165140748091,245.305198,127.615041
40,246.165140748091,245.315198,133.394312
40,246.165140748091,245.325198,137.468283
40,246.165140748091,245.335198,141.627143
40,246.165140748091,245.345198,151.197619
40,246.165140748091,245.355198,151.36291
40,246.165140748091,245.365198,152.506046
40,246.165140748091,245.375198,154.182364
40,246.165140748091,245.385198,155.961059
40,246.165140748091,245.395198,157.536412
40,246.165140748091,245.405198,157.974548
40,246.165140748091,245.415198,156.962152
40,246.165140748091,245.425198,158.837539
40,246.165140748091,245.435198,159.093775
40,246.165140748091,245.445198,156.917512
40,246.165140748091,245.455198,153.21253
40,246.165140748091,245.465198,149.343928
40,246.165140748091,245.475198,149.349658
40,246.165140748091,245.485198,152.062644
40,246.165140748091,245.495198,151.572582
40,246.165140748091,245.505198,150.748859
40,246.165140748091,245.515198,149.033386
40,246.165140748091,245.525198,146.634154
40,246.165140748091,245.535198,144.457061
40,246.165140748091,245.545198,142.948309
40,246.165140748091,245.555198,141.379186
40,246.165140748091,245.565198,139.784349
40,246.165140748091,245.575198,138.167945
40,246.165140748091,245.585198,135.628315
40,246.165140748091,245.595198,129.654593
40,246.165140748091,245.605198,125.688044
40,246.165140748091,245.615198,123.760834
40,246.165140748091,245.625198,121.861028
40,246.165140748091,245.635198,122.668574
40,246.165140748091,245.645198,124.72256
40,246.165140748091,245.655198,127.794904
40,246.165140748091,245.665198,128.741153
40,246.165140748091,245.675198,129.308538
40,246.165140748091,245.685198,130.038879
40,246.165140748091,245.695198,129.788189
40,246.165140748091,245.705198,129.254159
40,246.165140748091,245.715198,129.596104
40,246.165140748091,245.725198,130.161622
40,246.165140748091,245.735198,125.741996
40,246.165140748091,245.745198,121.299627
40,246.165140748091,245.755198,121.196709
40,246.165140748091,245.845198,131.804349
40,246.165140748091,245.855198,126.868619
40,246.165140748091,245.865198,127.056367
40,246.165140748091,245.875198,127.016353
40,246.165140748091,245.885198,126.926209
40,246.165140748091,245.895198,126.367998
40,246.165140748091,245.905198,125.912772
40,246.165140748091,245.915198,125.61043
40,246.165140748091,245.925198,125.29658
40,246.165140748091,245.935198,124.876195
40,246.165140748091,245.945198,124.489243
40,246.165140748091,245.955198,124.104403
40,246.165140748091,245.965198,123.497337
40,246.165140748091,245.975198,122.182671
40,246.165140748091,245.985198,120.198624
40,246.165140748091,245.995198,116.265466
40,246.165140748091,246.005198,114.355708
40,246.165140748091,246.015198,108.101566
40,246.165140748091,246.025198,106.178717
40,246.165140748091,246.035198,103.968739
40,246.165140748091,246.045198,116.095288
40,246.165140748091,246.055198,121.701386
40,246.165140748091,246.065198,121.218574
40,246.165140748091,246.075198,120.627559
40,246.165140748091,246.085198,117.773488
40,246.165140748091,246.095198,113.808619
40,246.165140748091,246.105198,112.298169
40,246.165140748091,246.115198,111.48878
